"naics","industry_name"
"531120"," Lessors of nonresidential buildings (except miniwarehouses)"
"531130"," Lessors of miniwarehouses and self-storage units"
"531190"," Lessors of other real estate property"
"531210"," Offices of real estate agents and brokers"
"531311"," Residential property managers"
"531312"," Nonresidential property managers"
"531320"," Offices of real estate appraisers"
"531390"," Other activities related to real estate"
"532111"," Passenger car rental"
"532112"," Passenger car leasing"
"532120"," Truck, utility trailer, and rv (recreational vehicle) rental and leasing"
"532210"," Consumer electronics and appliances rental"
"532281"," Formal wear and costume rental"
"532282"," Video tape and disc rental"
"532283"," Home health equipment rental"
"532284"," Recreational goods rental"
"532289"," All other consumer goods rental"
"532310"," General rental centers"
"532411"," Commercial air, rail, and water transportation equipment rental and leasing"
"532412"," Construction, mining, and forestry machinery and equipment rental and leasing"
"532420"," Office machinery and equipment rental and leasing"
"532490"," Other commercial and industrial machinery and equipment rental and leasing"
"533110"," Lessors of nonfinancial intangible assets (except copyrighted works)"
"541110"," Offices of lawyers"
"541191"," Title abstract and settlement offices"
"541199"," All other legal services"
"541211"," Offices of certified public accountants"
"541213"," Tax preparation services"
"541214"," Payroll services"
"541219"," Other accounting services"
"541310"," Architectural services"
"541320"," Landscape architectural services"
"541330"," Engineering services"
"541340"," Drafting services"
"541350"," Building inspection services"
"541360"," Geophysical surveying and mapping services"
"541370"," Surveying and mapping (except geophysical) services"
"541380"," Testing laboratories and services"
"541410"," Interior design services"
"541420"," Industrial design services"
"541430"," Graphic design services"
"541490"," Other specialized design services"
"541511"," Custom computer programming services"
"541512"," Computer systems design services"
"541513"," Computer facilities management services"
"541519"," Other computer related services"
"541611"," Administrative management and general management consulting services"
"541612"," Human resources consulting services"
"541613"," Marketing consulting services"
"541614"," Process, physical distribution, and logistics consulting services"
"541618"," Other management consulting services"
"541620"," Environmental consulting services"
"541690"," Other scientific and technical consulting services"
"541713"," Research and development in nanotechnology"
"541714"," Research and development in biotechnology (except nanobiotechnology)"
"541715"," Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)"
"541720"," Research and development in the social sciences and humanities"
"541810"," Advertising agencies"
"541820"," Public relations agencies"
"541830"," Media buying agencies"
"541840"," Media representatives"
"541850"," Indoor and outdoor display advertising"
"541860"," Direct mail advertising"
"541870"," Advertising material distribution services"
"541890"," Other services related to advertising"
"541910"," Marketing research and public opinion polling"
"541921"," Photography studios, portrait"
"541922"," Commercial photography"
"541930"," Translation and interpretation services"
"541940"," Veterinary services"
"541990"," All other professional, scientific, and technical services"
"551111"," Offices of bank holding companies"
"551112"," Offices of other holding companies"
"551114"," Corporate, subsidiary, and regional managing offices"
"561110"," Office administrative services"
"561210"," Facilities support services"
"561311"," Employment placement agencies"
"561312"," Executive search services"
"561320"," Temporary help services"
"561330"," Professional employer organizations"
"561410"," Document preparation services"
"561421"," Telephone answering services"
"561422"," Telemarketing bureaus and other contact centers"
"561431"," Private mail centers"
"561439"," Other business service centers (including copy shops)"
"561440"," Collection agencies"
"561450"," Credit bureaus"
"561491"," Repossession services"
"561492"," Court reporting and stenotype services"
"561499"," All other business support services"
"561510"," Travel agencies"
"561520"," Tour operators"
"561591"," Convention and visitors bureaus"
"561599"," All other travel arrangement and reservation services"
"561611"," Investigation and personal background check services"
"561612"," Security guards and patrol services"
"561613"," Armored car services"
"561621"," Security systems services (except locksmiths)"
"561622"," Locksmiths"
"561710"," Exterminating and pest control services"
"561720"," Janitorial services"
"561730"," Landscaping services"
"561740"," Carpet and upholstery cleaning services"
"561790"," Other services to buildings and dwellings"
"561910"," Packaging and labeling services"
"561920"," Convention and trade show organizers"
"561990"," All other support services"
"562111"," Solid waste collection"
"562112"," Hazardous waste collection"
"562119"," Other waste collection"
"562211"," Hazardous waste treatment and disposal"
"562212"," Solid waste landfill"
"562213"," Solid waste combustors and incinerators"
"562219"," Other nonhazardous waste treatment and disposal"
"562910"," Remediation services"
"562920"," Materials recovery facilities"
"562991"," Septic tank and related services"
"562998"," All other miscellaneous waste management services"
"611110"," Elementary and secondary schools"
"611210"," Junior colleges"
"611310"," Colleges, universities, and professional schools"
"611410"," Business and secretarial schools"
"611420"," Computer training"
"611430"," Professional and management development training"
"611511"," Cosmetology and barber schools"
"611512"," Flight training"
"611513"," Apprenticeship training"
"611519"," Other technical and trade schools"
"611610"," Fine arts schools"
"611620"," Sports and recreation instruction"
"611630"," Language schools"
"611691"," Exam preparation and tutoring"
"611692"," Automobile driving schools"
"611699"," All other miscellaneous schools and instruction"
"611710"," Educational support services"
"621111"," Offices of physicians (except mental health specialists)"
"621112"," Offices of physicians, mental health specialists"
"621210"," Offices of dentists"
"621310"," Offices of chiropractors"
"621320"," Offices of optometrists"
"621330"," Offices of mental health practitioners (except physicians)"
"621340"," Offices of physical, occupational and speech therapists, and audiologists"
"621391"," Offices of podiatrists"
"621399"," Offices of all other miscellaneous health practitioners"
"621410"," Family planning centers"
"621420"," Outpatient mental health and substance abuse centers"
"621491"," Hmo medical centers"
"621492"," Kidney dialysis centers"
"621493"," Freestanding ambulatory surgical and emergency centers"
"621498"," All other outpatient care centers"
"621511"," Medical laboratories"
"621512"," Diagnostic imaging centers"
"621610"," Home health care services"
"621910"," Ambulance services"
"621991"," Blood and organ banks"
"621999"," All other miscellaneous ambulatory health care services"
"622110"," General medical and surgical hospitals"
"622210"," Psychiatric and substance abuse hospitals"
"622310"," Specialty (except psychiatric and substance abuse) hospitals"
"623110"," Nursing care facilities (skilled nursing facilities)"
"623210"," Residential intellectual and developmental disability facilities"
"623220"," Residential mental health and substance abuse facilities"
"623311"," Continuing care retirement communities"
"623312"," Assisted living facilities for the elderly"
"623990"," Other residential care facilities"
"624110"," Child and youth services"
"624120"," Services for the elderly and persons with disabilities"
"624190"," Other individual and family services"
"624210"," Community food services"
"624221"," Temporary shelters"
"624229"," Other community housing services"
"624230"," Emergency and other relief services"
"624310"," Vocational rehabilitation services"
"624410"," Child care services"
"711110"," Theater companies and dinner theaters"
"711120"," Dance companies"
"711130"," Musical groups and artists"
"711190"," Other performing arts companies"
"711211"," Sports teams and clubs"
"711212"," Racetracks"
"711219"," Other spectator sports"
"711310"," Promoters of performing arts, sports, and similar events with facilities"
"711320"," Promoters of performing arts, sports, and similar events without facilities"
"711410"," Agents and managers for artists, athletes, entertainers, and other public figures"
"711510"," Independent artists, writers, and performers"
"712110"," Museums"
"712120"," Historical sites"
"712130"," Zoos and botanical gardens"
"712190"," Nature parks and other similar institutions"
"713110"," Amusement and theme parks"
"713120"," Amusement arcades"
"713290"," Other gambling industries"
"713910"," Golf courses and country clubs"
"713920"," Skiing facilities"
"713930"," Marinas"
"713940"," Fitness and recreational sports centers"
"713950"," Bowling centers"
"713990"," All other amusement and recreation industries"
"721110"," Hotels (except casino hotels) and motels"
"721191"," Bed-and-breakfast inns"
"721199"," All other traveler accommodation"
"721211"," Rv (recreational vehicle) parks and campgrounds"
"721214"," Recreational and vacation camps (except campgrounds)"
"721310"," Rooming and boarding houses, dormitories, and workers' camps"
"722310"," Food service contractors"
"722320"," Caterers"
"722330"," Mobile food services"
"722410"," Drinking places (alcoholic beverages)"
"722511"," Full-service restaurants"
"722513"," Limited-service restaurants"
"722514"," Cafeterias, grill buffets, and buffets"
"722515"," Snack and nonalcoholic beverage bars"
"811111"," General automotive repair"
"811114"," Specialized automotive repair"
"811121"," Automotive body, paint, and interior repair and maintenance"
"811122"," Automotive glass replacement shops"
"811191"," Automotive oil change and lubrication shops"
"811192"," Car washes"
"811198"," All other automotive repair and maintenance"
"811210"," Electronic and precision equipment repair and maintenance"
"811310"," Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance"
"811411"," Home and garden equipment repair and maintenance"
"811412"," Appliance repair and maintenance"
"811420"," Reupholstery and furniture repair"
"811430"," Footwear and leather goods repair"
"811490"," Other personal and household goods repair and maintenance"
"812111"," Barber shops"
"812112"," Beauty salons"
"812113"," Nail salons"
"812191"," Diet and weight reducing centers"
"812199"," Other personal care services"
"812210"," Funeral homes and funeral services"
"812220"," Cemeteries and crematories"
"812310"," Coin-operated laundries and drycleaners"
"812320"," Drycleaning and laundry services (except coin-operated)"
"812331"," Linen supply"
"812332"," Industrial launderers"
"812910"," Pet care (except veterinary) services"
"812921"," Photofinishing laboratories (except one-hour)"
"812922"," One-hour photofinishing"
"812930"," Parking lots and garages"
"812990"," All other personal services"
"813110"," Religious organizations"
"813211"," Grantmaking foundations"
"813212"," Voluntary health organizations"
"813219"," Other grantmaking and giving services"
"813311"," Human rights organizations"
"813312"," Environment, conservation and wildlife organizations"
"813319"," Other social advocacy organizations"
"813410"," Civic and social organizations"
"813910"," Business associations"
"813920"," Professional organizations"
"813930"," Labor unions and similar labor organizations"
"813940"," Political organizations"
"813990"," Other similar organizations (except business, professional, labor, and political organizations)"
"814110"," Private households"
"999999"," Unclassified"
